 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89
二間穴 0.12633193 -0.2075374 -0.58419734 -0.10491976 0.37224653 0.15957788 0.2541289 -0.061261885 0.14598742 -0.30014053 0.37860194 0.078004606 0.12377485 0.14406349 0.21628997 0.25301406 -0.005679732 -0.044888303 0.07926009 0.45796752 -0.5575966 -0.67797434 -0.39152455 0.54892135 0.020770287 -0.29616004 -0.25341237 -0.3431195 -0.17361632 0.33720243 -0.2912151 0.5478193 0.44560418 -0.20098208 -0.16065018 0.2594573 0.20655765 -0.5471652 0.41190642 0.1800628 0.5257221 -0.3313231 0.17448457 0.4136223 -0.1503064 0.019012073 0.4092796 0.4295811 0.3377405 -0.36270002 -0.2930711 -0.10485626 0.08015543 0.07736486 0.18353054 -0.24823472 -0.2456264 0.45796567 -0.4600785 0.23161788 -0.32201114 -0.27561072 0.28147647 -0.18853018 -0.13794711 -0.2840115 0.40877363 -0.1517786 -0.27229312 0.2678138 0.20384102 -0.09695417 -0.53297144 -1.0394803 -0.60076773 0.53407735 0.20909855 -0.5489761 0.07360943 -0.07616979 0.17640935 -0.04727582 -0.08627895 0.040849395 0.34132847 -0.05608486 0.25119892 0.26526153 0.52787703 0.010990233
三叉神經痛 0.015223521 0.11457395 -0.69378537 -0.12110914 0.460136 0.50232613 -0.6633776 -0.30061442 -0.33108133 -0.5485713 0.40216544 0.36248368 0.543183 -0.28090197 0.10932832 -0.66781 -0.30541256 0.06918767 -0.6750711 0.42685476 1.9352211 0.34665033 -0.6425465 0.33215836 0.19014783 0.49819618 0.10032357 -0.39074335 0.39554033 0.55593055 0.39530417 -0.22076423 -0.0315895 -0.3166362 0.443518 0.50195783 0.3190496 -0.3527932 -0.02055478 0.32139772 0.44447708 -0.30855525 -0.374377 0.24485503 -0.46155864 0.030538999 0.19222862 0.46477517 -0.351794 -0.36284226 0.47494423 0.010711011 -0.05105326 0.7663718 0.24773379 -0.581393 0.4734094 0.4268563 -0.052606244 0.21787505 -0.6801906 -0.31741422 0.32364514 -0.43533245 0.39111957 0.6154586 -0.26340923 -0.31260988 0.5131163 -0.16180508 0.37852016 0.008616778 -0.4157907 0.7841772 0.5804079 0.40926856 0.4757854 -0.29242823 0.24384995 0.32282394 -0.12606487 -0.24800816 0.68473804 -0.14214498 0.18484835 -0.62362945 0.23176627 -0.69055897 0.43021685 -0.02059689
口歪 -0.13762078 0.08347348 -0.26028922 0.19834752 -0.10882205 0.27339402 -1.447726 -0.40281647 -0.15468515 0.03695898 0.27238163 0.0020781022 0.14790772 -0.3576653 0.061220083 -1.4499497 0.17474547 0.40425262 -0.14486998 0.40946087 1.5860639 0.46018156 0.11754302 0.26911858 -0.12122823 0.04069679 0.07899209 0.1705556 -0.04910938 0.14665453 -0.6059808 0.41400254 0.31028742 -0.46046504 0.05495347 -0.08500419 0.5222755 -0.2657384 0.18421917 0.023473363 0.2559851 -0.1796565 -0.047004275 0.45683685 -0.38630435 -0.06193311 0.46548602 0.32049352 0.022943959 -0.327701 0.035827275 0.035587776 -0.024517188 0.4753078 -0.1434224 -0.45034513 -0.29911172 0.40945923 -0.1020023 0.2004679 -0.25506327 -0.431578 0.22831507 -0.19453625 0.2432515 1.4018567 -0.081448816 -0.06694713 -0.057672445 0.4500586 0.22786222 0.061493453 -0.25744283 0.5334678 0.43177617 0.2578505 0.1087111 -0.27785107 -0.34447852 -0.27873448 0.21966466 -0.030962117 0.40229198 0.056135524 -0.20106418 -0.3033437 0.5885583 -1.4417472 0.25391784 0.28901228
口乾口渴 -0.19925646 -0.22404727 -0.07434515 -0.20857704 0.38001332 0.16661209 -1.1111237 -0.22785057 0.017677313 0.026289599 0.20605037 -0.1604835 0.15052858 -0.15758406 0.10453912 -1.111182 -0.25745726 0.036429863 -0.09364987 0.5239938 1.6393255 0.42474303 -0.053193416 0.4635342 -0.0026570242 -0.158336 -0.37297276 0.23337811 -0.071710356 0.12695237 -0.086050004 0.16404492 0.22148827 -0.10696158 -0.1805496 -0.010615894 0.29604235 -0.46158108 -0.052772086 0.43510818 0.4473941 -0.38250637 -0.16428255 -0.40295303 0.29587764 0.14084533 0.57170695 -0.0704814 -0.044624366 -0.24624741 0.22732463 0.11095524 0.040812895 0.2173486 -0.09698765 0.25182915 -0.31442282 0.523989 -0.12528808 -0.0051572993 -0.3926206 -0.4109645 0.00042454968 0.15339965 -0.07999081 1.1381936 0.28861296 -0.006625888 0.24021977 0.16143923 0.013120768 0.085402966 -0.45464295 0.47712222 0.50059265 0.45592824 0.29605922 -0.46858758 -0.22366512 -0.21972564 0.15020685 0.011964656 0.17983204 -0.019037269 -0.22049999 -0.37932217 0.39958075 -1.1422353 0.45077857 -0.1687158
口歪眼斜 -0.1744566 -0.1733712 -0.7307666 -0.092879765 0.069324896 0.073473684 -0.50814897 0.40605798 -0.33746755 -0.18979792 0.44578218 -0.06406611 -0.092092216 -0.49268162 -0.038136262 -0.5108451 0.030444799 -0.12128077 -0.124660656 0.6891146 0.85858214 0.36838278 -0.6598154 0.7990891 -0.16200292 0.21218611 0.18800414 -0.20927504 0.27222657 0.37470078 0.1262728 0.000579293 0.04343912 -0.59780586 0.3303756 0.13828442 0.67463666 -0.78887653 0.31513032 0.2041191 0.7228161 -0.15971373 -0.074646346 0.32748803 -0.57560396 -0.022296926 0.5972032 0.4943996 0.05223685 -0.19657668 -0.030067742 -0.23917158 -0.08951898 0.2741541 -0.019565191 -0.5432645 0.3269117 0.68911856 -0.017280217 -0.019949729 -0.15988313 -0.17004997 -0.30600083 -0.16818069 -0.07106009 0.32728222 0.04518395 -0.22890633 0.19844322 0.23144577 -0.04571951 -0.004743963 -0.7560267 0.77127963 0.5790699 0.7615654 0.07733038 -0.816953 0.2243411 -0.049192976 0.0021797342 -0.10337668 0.36528444 0.009206787 0.061087266 -0.6562399 0.49456766 -0.3693613 0.74784815 0.03530588
月經期間眼睛痛 -0.116377346 -0.4427532 -0.2309783 -0.060825884 0.19928193 0.008166024 -0.95086396 0.18436962 0.31904238 -0.2245375 0.3567082 -0.005739257 0.33344582 0.25916848 -0.31004754 -0.9537633 0.25945026 0.12907901 -0.40883234 0.70384496 1.6246761 0.44693214 0.07930437 0.58082414 0.010550249 0.3282383 -0.26183328 0.1610406 -0.13023189 0.39444745 -0.14155313 0.12494463 0.30181262 -0.012922473 -0.098314576 0.43059832 0.34527314 -0.5697018 0.33203036 0.36704573 0.544347 -0.12683702 -0.019588256 -0.062299654 -0.56035376 0.22320257 0.45384786 0.021458901 0.5818254 -0.14385286 0.14537168 0.2574196 0.16546692 0.18947455 0.34273326 -0.082403466 -0.11903103 0.7038436 -0.22390376 0.5442095 -0.18934506 -0.091201685 -0.46702847 0.32517982 -0.59023416 0.89021295 -0.1284981 -0.3088816 0.024615351 0.08810816 0.27679178 -0.13022846 -0.5469426 0.6325621 0.5705086 0.5483622 0.15677069 -0.6153998 -0.21386251 -0.26807454 -0.0363916 -0.28023618 0.16993243 -0.37998387 0.3073332 -0.29478973 0.24983308 -0.94091314 0.54526246 -0.037492495
牙周疾病 0.0608774 -0.16545607 -0.82404613 -0.119639866 0.08505236 0.124199666 -0.75201035 0.06067018 -0.35389128 -0.2940704 0.6665603 0.19789733 0.3694564 0.18783575 -0.13247912 -0.756172 -0.11544143 -0.18815713 -0.32684043 0.6268418 1.5605537 0.54595363 -0.5851584 0.5186129 0.025536451 0.24236105 -0.3664627 0.059177626 0.45265573 0.5077593 -0.13413313 0.1284145 -0.08585927 -0.45044938 -0.07044369 0.42279425 0.47667927 -0.54912436 0.15479827 0.49588916 0.6346319 -0.11100939 -0.23187508 0.027389973 -0.3423054 0.4278388 0.31858358 0.1298227 -0.098411016 -0.38317382 0.22112618 -0.18230198 -0.026403612 -0.18882723 0.1999519 -0.023944484 0.069449455 0.62684524 -0.2529482 0.19451328 -0.4802817 -0.03516693 0.5637008 0.10302669 0.0099520665 0.6800122 -0.014003346 -0.32291722 0.13294141 -0.2193963 -0.23662575 -0.34510022 -0.62576336 0.7610295 0.5538282 0.62260187 0.15841557 -0.44616294 -0.16935629 -0.09307003 0.20157464 -0.15054172 0.1917311 -0.10251663 0.14732358 0.13853575 0.31641597 -0.75074124 0.6428996 -0.037845854
牙齒痛 0.44109508 -0.23032168 -0.6648407 0.36181986 0.25311688 0.4294272 -0.5266181 -0.039488055 -0.08780438 -0.18168129 0.4539713 0.15154584 0.39973736 -0.096413195 -0.07250856 -0.5302321 0.12527809 -0.5027714 -0.45415863 0.4471382 1.7378083 0.46982804 -0.6963077 0.37928325 0.05548533 0.24343035 -0.2813876 0.017780665 0.05983466 0.683332 -0.45935714 0.18618111 -0.19476402 -0.35708043 -0.18903558 0.4627377 0.48690286 -0.40772846 0.15958962 0.16258872 0.5008886 -0.21809587 -0.32394364 0.23406568 -0.18442966 0.067528404 0.07872927 0.19797829 -0.06438241 -0.58698857 0.2051504 -0.1972315 -0.37192643 -0.08313772 0.05587922 0.027018968 -0.01692335 0.44713798 -0.20561247 0.39464897 -0.39856353 -0.06899758 0.64394265 -0.407188 0.22540504 0.48740762 -0.08033331 -0.43728986 -0.12351043 0.18138303 -0.10349428 -0.35954264 -0.48776877 0.77418345 0.619497 0.48375604 0.10634958 -0.31928438 -0.22263761 -0.5794239 0.2865475 -0.31010735 0.120861694 0.14365017 -0.004938744 -0.22031005 0.38121644 -0.55136055 0.5063969 0.49197683
牙齦出血 0.020089015 -0.15654849 -0.64565283 -0.080834605 0.22484069 0.37512618 -0.3534111 0.11639101 -0.47088367 -0.48947993 0.5116962 0.15962484 0.43359053 0.073656164 0.32468608 -0.35680774 -0.050496798 -0.22254458 -0.19255617 0.6872992 1.5858566 0.5160571 -0.721849 0.5678283 0.11883385 0.211516 -0.0077903317 0.073876634 0.1960951 0.4550851 -0.077134915 0.26199213 0.012051073 -0.49255836 -0.1869848 0.47074753 0.45331883 -0.56751925 0.13162504 0.2765015 0.55010664 -0.49992463 -0.29786876 0.07656993 -0.0675343 0.47434503 0.24619418 0.19147201 0.24694823 -0.5133463 -0.06764453 -0.1626007 -0.105867215 -0.043025833 0.25412136 0.05699737 -0.10525867 0.6872985 -0.009399006 0.40408877 -0.4792399 -0.11910325 0.38601694 0.04968832 0.044809014 0.28590387 -0.021616818 -0.34993407 0.37435773 0.34271625 0.15249631 -0.36129174 -0.56297547 0.70354694 0.7764786 0.5648556 -0.001778996 -0.56447 -0.0032526646 -0.19623022 0.26425138 -0.42716563 0.3667469 -0.15790975 0.20411032 -0.03846264 0.30035484 -0.344932 0.5620862 0.13729535
牙齦腫脹 0.14377902 -0.34934032 -0.7907372 0.049233478 -0.077593595 0.12636995 -0.5435245 -0.14421879 -0.39362326 -0.15854093 0.32317498 0.12016608 0.74961764 -0.04908385 0.29666716 -0.5474644 0.001758133 -0.2040305 -0.24564967 0.59032065 1.7424425 0.5657001 -0.51949257 0.53643554 0.07731921 0.11190641 0.070082955 0.2768638 0.23339279 0.49358138 -0.090108305 0.018655894 -0.09580898 0.05725949 0.26025018 0.4364228 0.41603598 -0.540766 0.11637011 0.4151979 0.5623121 -0.07973144 -0.23904784 0.124245994 -0.09687567 0.061429195 0.3734249 -0.0054277033 0.032492697 -0.31308243 0.3416748 -0.35547906 -0.22728729 -0.1319955 0.107530884 -0.019566052 -0.16178948 0.59032 -0.14740139 0.39419818 -0.3840223 -0.10242773 0.69990015 -0.03162974 0.16101198 0.49010986 -0.08776847 -0.18327078 0.19724965 -0.26538596 -0.16222471 -0.20422949 -0.5502229 0.78271884 0.61772025 0.547897 -0.020245228 -0.52838135 -0.46085608 -0.5667067 0.27960476 -0.32375798 0.12488697 -0.20007543 -0.1109455 -0.09337734 0.34369493 -0.559039 0.5491211 0.28236252
甲狀腺亢進 0.013343565 0.0014158193 0.062717006 -0.06613819 0.25405505 0.17785093 -1.0670352 -0.14204484 0.33009177 0.05679418 0.24178384 0.21018255 0.2491539 0.39235774 0.50572133 -1.069564 -0.09098632 0.060626235 0.3464019 0.5054317 1.7193054 0.47748166 -0.4212044 0.27392116 -0.10419448 -0.32370555 -0.018891469 -0.013983013 0.14447267 0.22200754 -0.5000412 0.20856588 -0.00034795102 -0.24664362 0.009125958 -0.2021094 0.41547543 -0.27159634 0.19334581 0.13946709 0.27446407 -0.14688265 -0.034761604 0.41941395 0.17033145 0.121085845 0.2876133 -0.36542645 -0.18260592 -0.56232077 -0.4451388 0.06191547 -0.049225934 -0.20688474 -0.17247365 -0.31173924 -0.0393473 0.5054288 0.08156342 0.2394754 -0.25280267 -0.13506854 0.017494446 0.11685537 -0.33874106 1.0235952 0.30113387 -0.030890044 0.022855846 0.42977712 0.01452955 -0.20800386 -0.2747611 0.5800765 0.591064 0.27502903 -0.31865215 -0.28687155 -0.42677402 -0.32847503 0.09840238 -0.15514562 -0.17183504 0.016072283 0.19661815 -0.44234288 0.121052355 -1.06718 0.2792559 0.18304275
目昏 -0.14412412 -0.3097634 -0.034948934 -0.20656994 0.024060206 0.39433023 -1.8490049 -0.16610846 0.20924193 -0.25851125 -0.026409399 0.25743824 -0.15038334 0.041684013 0.43216228 -1.8501539 -0.19148271 -0.25596794 -0.026383799 0.01693581 1.3428712 0.22072525 -0.24391848 0.047483396 -0.17103931 -0.047081213 -0.29487526 -0.15666375 -0.23326671 -0.027587902 0.06015374 0.23468882 0.027114611 -0.0026380497 -0.06308183 -0.07971779 -0.23262185 -0.0407158 0.021879511 -0.025724974 0.026115641 -0.41735405 0.16351824 -0.3345399 -0.036387708 0.123797104 0.2349959 0.09304865 0.28843135 -0.11355575 -0.061980054 -0.47396654 0.19113986 0.03437861 0.07896077 -0.07225911 -0.28280917 0.016936012 -0.2667106 -0.2246242 -0.2098237 -0.30763385 0.115048684 -0.058498986 -0.04742341 1.8400995 -0.0027118556 0.27033216 -0.3122094 0.15600687 0.2882229 -0.07148479 -0.022661228 0.2918811 0.021257592 0.022823002 -0.044408165 -0.059318412 -0.008371422 -0.16848724 0.27223864 -0.15709628 0.17416386 -0.19095549 -0.24503249 -0.15022838 0.16121736 -1.8602041 0.017117063 0.22032933
貝爾氏癱瘓 0.22102825 -0.39513916 -0.5699223 0.1843363 0.31846198 0.17598265 -0.8784739 -0.11036313 -0.32167187 -0.3249733 0.4871376 0.066084005 0.099168524 0.18384945 -0.07141778 -0.8831402 -0.03416839 -0.28617388 -0.3510493 0.4179993 1.6401596 0.52022785 -0.34598532 0.48157465 -0.0011821288 0.4721564 -0.20631827 0.1517979 0.25862727 0.33804575 0.05306436 -0.221311 -0.08981454 -0.22001524 0.107970625 0.37754872 0.4440417 -0.47670713 0.13152449 0.11579277 0.48731962 -0.27235353 -0.325561 0.1529057 -0.52099466 0.3176422 0.15382451 0.27385122 -0.032795765 -0.3849898 0.18156591 0.095698856 -0.09119125 0.29701197 0.20211014 -0.59294486 0.14851251 0.4179991 -0.1112146 0.3003731 -0.52549356 -0.2223923 0.56634885 -0.23645736 0.17616995 0.7930449 -0.1533376 -0.38746792 -0.0065989234 0.24684769 0.14905846 -0.30848703 -0.4702006 0.6700284 0.52034295 0.46642563 0.23295552 -0.4985743 0.16991492 0.18317235 0.12844756 -0.1947482 0.45990673 -0.27721938 0.102514036 -0.65035087 0.36069995 -0.8705789 0.4697591 -0.122306354
肩背交接痛 -0.18310891 -0.1695223 -0.44368187 -0.06512203 0.19094792 -0.10764848 -0.564532 0.07082704 -0.025052713 -0.48710728 0.3673829 -0.08962655 0.24327753 0.72179806 0.21528648 -0.56701183 -0.6278762 -0.41533598 0.30069816 0.31654295 1.5361724 0.42756587 -0.58893555 0.42073604 0.08510508 0.107503146 -0.3851746 0.20039688 0.3499976 0.18896547 -0.29168332 -0.1158668 -0.00704002 0.0076631154 -0.0065755756 0.103255145 0.16610806 -0.42779317 0.082315415 0.046510305 0.4671345 0.35269773 -0.1003779 -0.056977656 -0.07615641 0.089827254 0.15629186 0.18982616 0.112276286 -0.42109844 -0.15532622 -0.22743651 -0.14880037 -0.5921062 0.4645269 0.1540149 -0.23518462 0.31654227 -0.13217287 -0.07120063 -0.26731017 0.46111572 0.023558065 -0.15605603 0.10691448 0.5232936 0.40101796 0.26110002 0.14613427 0.13912576 -0.016424393 -0.45184407 -0.4542135 0.6922111 0.5933766 0.452215 -0.4131036 -0.40996525 -0.7262888 -0.018450147 0.49925482 0.10951204 0.014825287 0.22246836 -0.001072116 0.2330107 0.26268518 -0.5670531 0.46208078 0.1882497
